name,id,type,ba,tph,mcs,osi,cc,c1,c2to4,c5to9,c10to14,c15to29,c30to35,aet,cwd,tmn
7,910,3,12.047,162.222,7.625,0.05,0.466285,0.27968,0.364155,0.206621,0.0605023,0.043379,0.0456621,416.1,709.45,5
7,522,1,6.63263,160.118,5.89248,0.916587,0.400328,0.262137,0.369525,0.198549,0.0758575,0.0828496,0.0110818,428.517,673.937,5.15019
7,1338,3,11.6851,142.361,3.84228,0.504557,0.456404,0.346341,0.378049,0.188618,0.0617886,0.0252033,0,433.229,654.958,5.63542
7,3289,3,8.60003,165.309,4.77894,0.0239583,0.492936,0.272218,0.387229,0.208738,0.0802838,0.051531,0,416.117,702.944,5
7,2302,1,7.59229,151.7,3.95251,2.26826,0.478998,0.282274,0.402341,0.2301,0.0652174,0.0200669,0,428.137,668.142,6
7,2514,3,17.1798,152.84,3.97254,0.00138889,0.555759,0.311793,0.411955,0.203554,0.0565428,0.0161551,0,416,714.067,5
7,2833,1,10.4459,163.791,4.58978,0.0316176,0.543634,0.272147,0.37909,0.214685,0.0861931,0.0478851,0,416,714.918,5
7,3114,0,8.36587,148.848,3.86846,0.970274,0.471389,0.307237,0.428311,0.189804,0.0414201,0.0332271,0,432.043,670.78,6
7,3157,0,30.1106,124.646,3.10373,0.0170455,0.651776,0.442464,0.382496,0.126418,0.0178282,0.0307942,0,416.164,712.345,5
7,4020,1,7.26097,188.889,5.29412,0,0.7272,0.0588235,0.176471,0.647059,0.117647,0,0,416,725,5
8,366,1,7.03101,147.421,3.85464,0.260045,0.446433,0.300135,0.425303,0.15074,0.103634,0.0201884,0,410.196,732.179,5
8,85,2,18.6713,137.624,3.39728,0.282178,0.489548,0.36211,0.392486,0.198241,0.0239808,0.0231815,0,430.851,734.485,5.0198
8,6,0,31.7595,136.049,3.26627,0.0126984,0.604027,0.407311,0.364273,0.164895,0.0438164,0.0197044,0,412.692,740.34,5.05714
8,280,3,10.8609,155.93,3.77102,0.184691,0.518905,0.306645,0.405124,0.204964,0.0632506,0.020016,0,410.685,733.539,5
8,2090,1,8.0604,157.121,4.62251,0.096831,0.41125,0.277888,0.389442,0.219124,0.0587649,0.0547809,0,410.239,703.944,5
8,2154,0,27.2084,138.367,3.74304,0.0247449,0.550027,0.380859,0.362832,0.171747,0.057686,0.0203212,0.00655523,407.371,712.861,5
8,1453,1,19.8788,146.667,3.63912,0,0.552017,0.370523,0.359504,0.18595,0.0633609,0.0206612,0,407.036,742.2,5.32727
8,1285,2,33.8334,133.045,3.23427,0.0868506,0.574642,0.463124,0.347072,0.117137,0.0260304,0.0466377,0,403.455,737.571,5.1039
8,1391,3,7.92404,156.209,5.56172,0.995404,0.437776,0.278243,0.343096,0.225941,0.0376569,0.115063,0,407.397,714.471,5
8,1895,2,22.9473,162.424,7.54353,0.00113636,0.544822,0.24005,0.373134,0.196517,0.0820896,0.0447761,0.0634328,403.945,728.273,5
8,2001,3,16.8582,136.508,3.23953,0.188095,0.500069,0.386822,0.417054,0.143411,0.0341085,0.00930233,0.00930233,407.981,707.514,5
8,2230,1,10.8032,157.176,4.0648,0.00520833,0.435315,0.28866,0.385862,0.21944,0.078056,0.0279823,0,401.354,734.146,5
9,1507,0,16.0636,158.11,5.18376,0.168458,0.593923,0.275975,0.367529,0.220281,0.0763168,0.0430842,0.0168133,425.064,686.49,5.23738
9,88,1,5.27674,139.039,3.39633,2.73649,0.323328,0.317495,0.453564,0.179266,0.0302376,0.0194384,0,439.419,673.73,5.83784
9,1126,1,5.8969,134.722,4.47552,3.58301,0.340849,0.284794,0.456186,0.152062,0.0399485,0.0670103,0,495.266,618.406,6
9,425,3,8.90169,148.839,4.40891,1.32929,0.442464,0.29415,0.394429,0.1961,0.0679666,0.0473538,0,432.052,677.694,5.39552
9,371,3,9.04749,165.465,5.1948,0.800957,0.451829,0.235632,0.356322,0.262855,0.0674531,0.0777374,0,452.045,666.396,5.77928
9,1573,2,13.0737,153.025,4.31272,0.0334158,0.481216,0.312725,0.360891,0.206326,0.0711718,0.0488857,0,421.059,691.861,5
9,1822,1,3.26836,154.752,7.01817,4.17922,0.285363,0.223183,0.357266,0.222318,0.0752595,0.0579585,0.0640138,461.711,650.867,6.04819
9,1541,3,6.09481,151.638,5.04138,2.01326,0.361355,0.252725,0.359104,0.247679,0.0793298,0.0611627,0,442.672,673.317,5.78237
9,1811,0,7.22216,140.497,4.32258,2.21793,0.451331,0.280957,0.404787,0.198751,0.0884495,0.0270552,0,441.684,674.579,5.94737
9,2472,3,7.09838,161.905,6.11091,0.522321,0.469271,0.234681,0.429534,0.184436,0.0226716,0.0863971,0.0422794,413.42,696.938,5
9,2441,0,12.8916,152.951,3.82633,0.166016,0.463325,0.288309,0.413167,0.222474,0.0658343,0.0102157,0,437.094,677.5,5.875
10,349,1,7.28262,104.805,3.91117,12.3336,0.193657,0.362464,0.366762,0.153295,0.0744986,0.0429799,0,477.419,609.338,5
10,62,0,34.1931,125.849,3.36508,1.79749,0.373625,0.393904,0.402352,0.137154,0.046215,0.0150737,0.00530065,487.189,602.034,4.80675
10,172,3,18.804,95.8663,2.70765,9.9558,0.230537,0.439755,0.401223,0.122936,0.0351682,0.000611621,0.00030581,496.865,594.533,5
10,1304,2,13.8821,124.907,4.76946,6.22813,0.261247,0.289844,0.372128,0.191253,0.084507,0.0622683,0,477.942,608.742,4.70833
10,830,2,13.0546,121.354,5.18455,7.45898,0.248006,0.287554,0.387697,0.214592,0.0386266,0.0243205,0.0472103,484.234,608.078,5
10,1443,1,6.90301,99.537,3.61395,9.74089,0.186216,0.418605,0.323256,0.165116,0.0534884,0.0395349,0,426.292,662.688,5
11,1509,3,15.2947,150.522,5.73249,2.53259,0.326882,0.229653,0.341325,0.233438,0.0763407,0.119243,0,293.735,684.325,4.04274
11,34,1,16.6236,151.111,5.08339,2.57485,0.41082,0.260581,0.373027,0.2066,0.0997131,0.0480631,0.0120158,290.493,674.483,4.0439
11,1359,3,21.3497,144.086,5.12438,2.3996,0.340411,0.295522,0.357711,0.179104,0.0915423,0.0761194,0,300.865,694.484,4.26452
11,1072,2,25.4828,168.293,6.89291,0.224848,0.407434,0.28744,0.297101,0.226248,0.037037,0.115137,0.037037,298.098,659.488,4
11,1221,0,21.5092,154.739,4.68796,0.732996,0.352234,0.282999,0.360084,0.214361,0.0997888,0.0427666,0,299.037,692.338,4.13971
11,1125,1,18.789,140.885,4.76299,4.5918,0.341605,0.292257,0.384679,0.201068,0.0462107,0.0692134,0.00657219,301.865,686.891,4.07292
11,1781,3,15.0245,140.431,4.45247,3.24715,0.291829,0.293923,0.382972,0.233153,0.0454272,0.034296,0.0102286,302.034,694.422,4.10646
